Loja;Cliente;Chave;Série;Documento;Emissão;Situação;Produto;Unid.;Qtde Unid.;Qtde;Valor unit.;Frete;Outros;Seguro;Desconto;CFOP;IPI;ICMS base;ICMS valor;ICMS ST base;ICMS ST valor;Valor do item;Valor
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;5967 - CREME DE LEITE ITALAC LEVE 200G;UN;1,00;1,00;3,19;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;3,19;74,24
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1291 - MILHO VERDE BONDUELLE 200G;UN;1,00;1,00;4,68;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;4,68;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1451 - PAO PLUSVITA DE MILHO 450G;UN;1,00;10,00;7,74;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;77,40;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1648 - FERMENTO EM PO ROYAL 100G;UN;1,00;1,00;3,05;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;3,05;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1682 - KETCHUP PREDILECTA PICANTE 400G;UN;1,00;4,00;4,20;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;16,80;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1938 - FEIJAO GRANFINO FRADINHO  500G;UN;1,00;6,00;3,40;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;20,40;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1968 - TAPIOCA DO ZE 500G;UN;1,00;1,00;4,29;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;4,29;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;1981 - BISC. PIRAQUE PRESUNTINHO 100G;UN;1,00;1,00;2,98;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;2,98;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;2293 - COOKIES BAUDUCCO CHOCOLATE 100G;UN;1,00;18,00;3,61;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;64,98;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;2517 - COOKIES BAUDUCCO MAXI CHOCO. 96G;UN;1,00;1,00;4,12;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;4,12;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;4625 - DETERGENTE LIMPOL COCO 500ML;UN;1,00;3,00;1,99;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;5,97;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;4838 - CLORO CLORAL 2L;UN;1,00;3,00;6,19;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;18,57;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;5048 - BISC. TRAKINAS CHOCOLATE 126G;UN;1,00;4,00;2,09;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;8,36;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;5309 - KETCHUP PREDILECTA TRAD. 400G;UN;1,00;1,00;4,20;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;4,20;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;7260 - ALCOOL PRING 70 +MEDICAL 1L;UN;1,00;1,00;5,08;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;5,08;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;7263 - CEBOLA PALHA ADIKO 100G;UN;1,00;3,00;6,65;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;19,95;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;7906 - MACARRAO DONA BENTA SEMOLA PARAFUSO 500G;UN;1,00;1,00;3,29;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;3,29;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;7920 - QUEIJO PARM. RALADO REGINA 50G;UN;1,00;1,00;3,99;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;3,99;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;8441 - FEIJAO COMBRASIL FRADINHO 500G;UN;1,00;3,00;3,29;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;9,87;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;9149 - BISC. PIRAQUE RECHEADO MORANGO 160G;UN;1,00;5,00;2,88;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;14,40;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;10344 - TOMATE SECO TIO PACO 200G;UN;1,00;1,00;17,25;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;17,25;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;10388 - ADOCANTE UNIAO SUCRALOSE 65ML;UN;1,00;1,00;6,90;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;6,90;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;10586 - PATE ATUM PICANTE GOMES DA COSTA 150G;UN;1,00;1,00;8,38;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;8,38;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;11303 - BISC. PIRAQUE SNACK DE BATATA ORIG. 60G;UN;1,00;8,00;3,84;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;30,72;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;12380 - BISC. OREO CHOCO. 90G;UN;1,00;28,00;2,70;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;75,60;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;13693 - BISC. PIRAQUE SNACK CEBOLA E SALSA 60G;UN;1,00;3,00;3,84;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;11,52;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;14049 - DET. PO SURF ROSAS/FLOR. 800G;UN;1,00;1,00;7,68;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;7,68;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;14790 - MOLHO DE TOMATE CHAMPIGNON PREDILECTA 300G;UN;1,00;3,00;2,82;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;8,46;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;15514 - BISC. NEGRESCO 90G;UN;1,00;1,00;2,26;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;2,26;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;15704 - ADOCANTE UNIAO SUCRALOSE 30G;UN;1,00;1,00;6,00;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;6,00;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;15810 - AMENDOIM VERM. COMBRASIL  500G;UN;1,00;1,00;9,74;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;9,74;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;16135 - ROSQUINHA MABEL LEITE 300G;UN;1,00;1,00;3,99;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;3,99;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;1344 - PAO PLUSVITA TRADICIONAL 480G;UN;1,00;2,00;5,10;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;10,20;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;1787 - LEITE CONDENSADO ITALAC SEMIDES. 395G;UN;1,00;3,00;4,29;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;12,87;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;2640 - ARROZ BRANCO TIO JOAO 1KG;UN;1,00;3,00;6,64;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;19,92;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;2784 - MAIONESE HELLMANNS 500G;UN;1,00;4,00;9,35;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;37,40;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;3232 - GELATINA ROYAL S/ SABOR 24G;UN;1,00;1,00;5,94;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;5,94;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;4467 - MACARRAO PAGANINI LINGUINE 500G;UN;1,00;1,00;7,36;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;7,36;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;5967 - CREME DE LEITE ITALAC LEVE 200G;UN;1,00;4,00;2,42;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;9,68;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;6162 - AZEITE BORGES E. VIRG. CLASS. 500ML;UN;1,00;1,00;30,98;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;30,98;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;6819 - ERVILHAS EM CONSERVA PREDILECTA 170G;UN;1,00;1,00;3,19;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;3,19;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;6844 - MILHO EM CONSERVA PREDILECTA 170G;UN;1,00;2,00;2,69;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;5,38;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;7326 - FARINHA DE MANDIOCA DO ZE 1KG;UN;1,00;5,00;4,19;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;20,95;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;7705 - VINAGRE PEIXE COLORIDO 750ML;UN;1,00;1,00;1,83;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;1,83;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;8337 - TODDYNHO LEVINHO 200ML;UN;1,00;4,00;1,86;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;7,44;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;9137 - BATATA PALHA TRAD YOKI 105G;UN;1,00;2,00;4,50;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;9,00;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;9355 - TEMPERO COMPLETO TEMPEMAR CASEIRO 270G;UN;1,00;1,00;2,21;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;2,21;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;11400 - ACENDEDOR PARANA BASTAO 5UN.;UN;1,00;1,00;3,39;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;3,39;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;13327 - GELATINA DR. OETKER MORANGO 20G;UN;1,00;3,00;1,34;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;4,02;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;14859 - LEITE DE AVEIA NUTS Z. LAC 1L;UN;1,00;1,00;8,80;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;8,80;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;15854 - SORVETE SOL&NEVE PISTACHO 15L;UN;1,00;1,00;18,37;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;18,37;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;16097 - SORV. AURUS NAPOLITANO 15L;UN;1,00;1,00;18,37;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;18,37;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;1451 - PAO PLUSVITA DE MILHO 450G;UN;1,00;7,00;7,74;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;54,18;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;5159 - BISC. PINGO DOURO BACON 48G;UN;1,00;1,00;2,32;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;2,32;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;8280 - BISC. FANDANGOS QUEIJO 37G;UN;1,00;8,00;2,28;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;18,24;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;9660 - GRANOLA INT. JASMINE TRAD. C/COCO E UVAS-PASSAS 300G;UN;1,00;5,00;10,23;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;51,15;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;12590 - QUEIJO PAR.RALAD.PRESIDENT 100G;UN;1,00;70,00;9,19;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;643,30;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;12990 - PAO VISCONTI TRADICIONAL 400G;UN;1,00;6,00;5,40;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;32,40;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;13930 - BISC. CHEETOS LUA PARMESAO 40G;UN;1,00;1,00;2,65;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;2,65;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;15076 - B. DE CHOCO. NESTLE ALPINO 85G;UN;1,00;2,00;4,48;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;8,96;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;741 - CANJIQUINHA VERMELHA GRANFINO 500G;UN;1,00;4,00;1,60;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;6,40;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1437 - MACARRAO BARILLA LINGUINE 500G;UN;1,00;1,00;4,29;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;4,29;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1460 - ACUCAR UNIAO REFINADO 1KG;UN;1,00;5,00;4,35;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;21,75;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1628 - OLEO LIZA CANOLA 900ML;UN;1,00;1,00;14,17;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;14,17;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1635 - CAFE PILAO TRADICIONAL POUCH 250G;UN;1,00;3,00;8,55;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;25,65;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1947 - FARINHA MANDIOCA GRANFINO CRUA 1KG;UN;1,00;1,00;5,90;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;5,90;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;1982 - BISC. PIRAQUE CREAM CRACKERS 200G;UN;1,00;5,00;3,56;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;17,80;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;2639 - FEIJAO PRETO COMBRASIL 1KG;UN;1,00;1,00;6,98;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;6,98;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;2640 - ARROZ BRANCO TIO JOAO 1KG;UN;1,00;1,00;6,64;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;6,64;676,31
